Step 4230: Loss: 7.6999 | Avg: 7.8879
Step 4240: Loss: 7.1103 | Avg: 7.8860
Step 4250: Loss: 7.3628 | Avg: 7.8848
Eval Step 4250: Train: 7.2796 | Val: 7.5077
Step 4260: Loss: 7.3928 | Avg: 7.8836
Step 4270: Loss: 7.2405 | Avg: 7.8821
Step 4280: Loss: 7.6339 | Avg: 7.8816
Step 4290: Loss: 7.5102 | Avg: 7.8807
Step 4300: Loss: 7.9008 | Avg: 7.8807
Step 4310: Loss: 7.2592 | Avg: 7.8793
Step 4320: Loss: 7.8338 | Avg: 7.8792
Step 4330: Loss: 7.0630 | Avg: 7.8773
Step 4340: Loss: 7.4665 | Avg: 7.8764
Step 4350: Loss: 7.2498 | Avg: 7.8749
Step 4360: Loss: 7.4704 | Avg: 7.8740
Step 4370: Loss: 7.3328 | Avg: 7.8728
Step 4380: Loss: 7.5046 | Avg: 7.8719
Step 4390: Loss: 7.6076 | Avg: 7.8713
Step 4400: Loss: 7.6179 | Avg: 7.8708
Step 4410: Loss: 7.5288 | Avg: 7.8700
Step 4420: Loss: 7.4884 | Avg: 7.8691
Step 4430: Loss: 7.4656 | Avg: 7.8682
Step 4440: Loss: 7.6772 | Avg: 7.8678
Eval Step 4448: Train: 7.5344 | Val: 7.5951
Step 4450: Loss: 7.2168 | Avg: 7.8663
Step 4460: Loss: 7.6832 | Avg: 7.8659
Step 4470: Loss: 7.1868 | Avg: 7.8644
Step 4480: Loss: 7.4230 | Avg: 7.8634
Step 4490: Loss: 7.1483 | Avg: 7.8618
Step 4500: Loss: 7.7528 | Avg: 7.8616
Eval Step 4500: Train: 7.4117 | Val: 7.6000
Step 4510: Loss: 7.5288 | Avg: 7.8609
Step 4520: Loss: 7.1973 | Avg: 7.8594
Step 4530: Loss: 7.9188 | Avg: 7.8595
Step 4540: Loss: 7.2744 | Avg: 7.8582
Step 4550: Loss: 7.6273 | Avg: 7.8577
Step 4560: Loss: 7.1774 | Avg: 7.8562
Step 4570: Loss: 7.4976 | Avg: 7.8555
Step 4580: Loss: 7.1723 | Avg: 7.8540
Step 4590: Loss: 7.8215 | Avg: 7.8539
Step 4600: Loss: 7.3518 | Avg: 7.8528
Step 4610: Loss: 7.5499 | Avg: 7.8522
Step 4620: Loss: 7.4680 | Avg: 7.8513
Step 4630: Loss: 7.4770 | Avg: 7.8505
Step 4640: Loss: 7.6276 | Avg: 7.8500
Step 4650: Loss: 7.0761 | Avg: 7.8484
Step 4660: Loss: 7.5652 | Avg: 7.8478
Step 4670: Loss: 7.9864 | Avg: 7.8481
Step 4680: Loss: 7.5391 | Avg: 7.8474
Step 4690: Loss: 7.6951 | Avg: 7.8471
Eval Step 4699: Train: 7.6015 | Val: 7.7418
Step 4700: Loss: 7.9954 | Avg: 7.8474
Step 4710: Loss: 7.1723 | Avg: 7.8460
Step 4720: Loss: 7.2095 | Avg: 7.8446
Step 4730: Loss: 7.7162 | Avg: 7.8444
Step 4740: Loss: 7.3166 | Avg: 7.8432
Step 4750: Loss: 7.6687 | Avg: 7.8429
Eval Step 4750: Train: 7.5718 | Val: 7.7551
Step 4760: Loss: 8.2742 | Avg: 7.8438
Step 4770: Loss: 7.7170 | Avg: 7.8435
